sound_id,bpm,rolloff,flux,rms,flatness,spectral_complexity,pitch,loudness,mood
1,135.32,2895.7767,1.4499,0.1786,0.8202,25.7148,2311.1779,17.8675,Introspective Rap
2,129.37,3378.4605,1.3533,0.202,0.6739,29.1089,1892.1924,21.4595,Lo-Fi Hip Hop/Chill Rap
3,133.68,2037.4847,1.3822,0.2552,0.7842,26.9762,2484.3503,29.459,Club/Party Rap
4,162.22,1156.3781,1.5499,0.1971,0.8764,14.2956,2984.6109,20.5067,Introspective Rap
5,105.87,1693.4542,1.0886,0.2369,0.8571,36.6951,1572.0499,25.3407,Trap/Drill
6,92.02,1158.8606,1.0737,0.2334,0.8943,23.0539,1943.181,25.268,Lo-Fi Hip Hop/Chill Rap
7,129.82,1787.9302,1.2172,0.2632,0.8592,29.9563,2111.893,29.2586,Lo-Fi Hip Hop/Chill Rap
8,129.95,2331.3437,1.3638,0.2576,0.8193,36.5045,2137.0455,28.7634,Trap/Drill
9,124.14,2456.785,1.2137,0.2573,0.8385,40.9769,1861.3738,28.079,Trap/Drill
10,154.92,1660.9177,1.091,0.2157,0.8995,30.1906,1757.9368,22.5514,Lo-Fi Hip Hop/Chill Rap
11,123.68,1268.2502,1.1937,0.2342,0.8793,26.471,2394.9852,25.6333,Lo-Fi Hip Hop/Chill Rap
12,99.87,2557.5925,1.2525,0.2336,0.7574,33.8207,1726.0318,25.7406,Trap/Drill
13,125.06,1755.2472,1.41,0.2754,0.8123,26.8521,2877.0575,32.8955,Club/Party Rap
14,126.07,2501.5662,1.2107,0.1927,0.7858,29.5363,1794.6078,20.1684,Lo-Fi Hip Hop/Chill Rap
15,121.11,2726.6877,1.1177,0.1818,0.8561,31.6904,1784.9531,18.3843,Lo-Fi Hip Hop/Chill Rap
16,96.27,2984.9233,1.375,0.2683,0.7965,39.8208,2487.1039,30.4793,Trap/Drill
17,143.68,1335.3432,1.0967,0.2855,0.8625,32.319,2192.7517,32.4186,Club/Party Rap
18,100.01,1110.6811,0.962,0.2047,0.9122,22.6653,1951.1632,21.8971,Lo-Fi Hip Hop/Chill Rap
19,132.95,2461.8619,1.2095,0.2259,0.8656,29.4608,1806.492,24.2865,Lo-Fi Hip Hop/Chill Rap
20,162.03,2313.321,1.2829,0.2214,0.8627,28.0539,1858.481,22.7645,Lo-Fi Hip Hop/Chill Rap
21,99.96,1595.4223,1.315,0.2208,0.9078,26.4883,2404.7399,23.247,Introspective Rap
22,129.97,2905.4055,1.4345,0.1902,0.7664,20.2638,2393.9827,20.3012,Introspective Rap
23,164.08,1573.9462,1.3346,0.3519,0.6427,31.873,1327.9784,43.8683,Trap/Drill
24,132.01,3034.3304,1.3105,0.1101,0.7277,13.9209,2366.3715,9.9063,Cloud Rap/Experimental
25,120.03,2366.2406,1.4543,0.2451,0.8423,28.2409,1938.3149,26.4812,Lo-Fi Hip Hop/Chill Rap
26,111.82,3795.6828,1.2148,0.1681,0.6155,21.0232,2379.3629,18.9285,Introspective Rap
27,83.98,1050.6276,1.3011,0.1774,0.7384,9.6972,3290.7641,19.0712,Introspective Rap
28,162.94,1869.8051,1.3421,0.2003,0.7949,22.8578,2209.678,21.2403,Introspective Rap
29,125.03,1934.5935,1.4139,0.2055,0.7728,13.0344,3779.4293,22.3514,Introspective Rap
30,129.9,818.8553,1.1656,0.1881,0.9207,20.9247,2602.8205,19.4275,Introspective Rap
31,89.99,1212.2858,1.3092,0.1752,0.773,12.1333,2773.7418,19.0531,Introspective Rap
32,120.13,3582.4288,1.2478,0.2094,0.8214,33.7949,1824.7316,22.7303,Trap/Drill
33,162.73,1107.2605,1.2771,0.2024,0.9019,21.8408,2699.4368,21.4811,Introspective Rap
34,111.66,2195.196,1.1163,0.2994,0.7075,44.7233,2081.2349,35.0766,Trap/Drill
35,128.13,2249.6672,1.2816,0.1782,0.8036,18.4892,2329.5916,18.6314,Introspective Rap
36,110.53,1040.0353,1.4597,0.2067,0.9101,16.396,3128.3278,21.9519,Introspective Rap
37,139.97,3116.7849,1.2563,0.2229,0.8499,30.8548,1684.8277,22.9262,Lo-Fi Hip Hop/Chill Rap
38,130.27,1808.7049,1.3226,0.2484,0.8827,30.3263,2135.9642,26.9355,Lo-Fi Hip Hop/Chill Rap
39,139.97,827.0196,1.0763,0.1394,0.9329,15.3637,2553.9273,12.5703,Cloud Rap/Experimental
40,80.0,1782.1832,1.2365,0.2323,0.8827,25.0827,2353.2912,26.1656,Lo-Fi Hip Hop/Chill Rap
41,153.3,2669.8838,1.2984,0.3032,0.8241,37.8022,2296.2452,36.6221,Trap/Drill
42,129.72,2515.3547,1.3069,0.2731,0.7743,37.2041,2255.9006,30.6359,Trap/Drill
43,84.9,1547.7531,1.2125,0.1773,0.8228,24.6032,1849.5998,17.7461,Lo-Fi Hip Hop/Chill Rap
44,117.14,1884.9794,1.1337,0.2034,0.8773,34.0868,1930.2272,21.2632,Lo-Fi Hip Hop/Chill Rap
45,153.01,1737.7581,1.2441,0.3138,0.906,43.8565,2215.4506,36.5028,Trap/Drill
46,122.98,1130.8945,1.3838,0.1507,0.9279,18.0716,2676.9534,14.3088,Introspective Rap
47,146.07,1812.7452,1.235,0.3084,0.8933,27.485,2115.0699,36.1978,Club/Party Rap
48,129.34,1498.5186,1.1173,0.2077,0.8567,20.8018,2402.482,22.4804,Introspective Rap
49,119.97,1777.6694,1.1541,0.3587,0.871,46.3838,2132.8882,43.4368,Trap/Drill
50,150.11,1028.2468,1.234,0.1994,0.9187,22.0308,2186.8316,20.9161,Introspective Rap
51,135.98,1385.0983,1.045,0.2441,0.8568,31.341,2109.3597,26.5365,Lo-Fi Hip Hop/Chill Rap
52,150.1,2002.7622,1.2404,0.3399,0.8659,40.0712,2042.2873,40.6788,Trap/Drill
53,129.65,1139.1404,0.9966,0.1011,0.7687,9.3392,2192.0175,9.4074,Cloud Rap/Experimental
54,161.7,1929.9293,1.2594,0.0348,0.7596,6.5206,1758.0497,1.9674,Cloud Rap/Experimental
55,129.6,892.3945,1.1764,0.1746,0.8554,17.7383,2776.0985,17.4324,Introspective Rap
56,92.29,5476.3469,1.364,0.1025,0.2511,16.9316,2410.1656,10.0354,Boom Bap/Classic Hip Hop
57,89.73,750.4491,1.1493,0.1604,0.9457,16.7389,1468.3771,15.4915,Cloud Rap/Experimental
58,102.94,1153.9839,1.3177,0.2396,0.932,24.2288,2511.7221,25.245,Introspective Rap
59,143.55,1536.752,1.0361,0.036,0.4843,4.4875,2142.6496,2.5214,Cloud Rap/Experimental
60,142.74,1334.5862,1.3676,0.1209,0.9236,15.5636,2204.5386,10.4379,Cloud Rap/Experimental
61,117.96,2737.5537,1.2408,0.2555,0.8177,37.2049,2055.0147,28.8071,Trap/Drill
62,131.07,1905.387,1.3204,0.1593,0.9064,19.8404,2486.7636,15.0284,Introspective Rap
63,128.72,1463.3539,1.2804,0.0781,0.8718,11.6074,2139.6551,5.9019,Cloud Rap/Experimental
64,81.92,1118.5471,1.3251,0.1214,0.876,14.0956,2319.0912,10.4646,Cloud Rap/Experimental
65,143.22,1889.6929,1.2403,0.0828,0.8789,14.8602,1846.6317,6.5042,Cloud Rap/Experimental
66,125.23,2134.3043,1.4518,0.1995,0.8396,29.5775,1953.8753,20.1093,Lo-Fi Hip Hop/Chill Rap
67,153.12,2192.6911,1.318,0.3458,0.7937,44.0823,2195.0064,41.5359,Trap/Drill
68,124.14,2456.785,1.2137,0.2573,0.8385,40.9769,1861.3738,28.079,Trap/Drill
69,150.14,2262.4085,1.3894,0.1408,0.7248,21.8987,2214.3585,13.3467,Cloud Rap/Experimental
70,117.96,2737.5537,1.2408,0.2555,0.8177,37.2049,2055.0147,28.8071,Trap/Drill
71,139.94,1522.8315,1.3143,0.2197,0.8651,24.6477,2420.2639,23.573,Introspective Rap
72,85.06,1092.7777,1.3235,0.2705,0.825,10.5199,2939.125,32.8546,Introspective Rap
73,106.04,1332.6988,1.2176,0.2347,0.9268,29.9018,2054.9772,25.1617,Lo-Fi Hip Hop/Chill Rap
74,156.21,2456.1091,1.4629,0.2267,0.8007,26.7128,2297.436,24.3122,Introspective Rap
75,143.63,1040.4305,1.2131,0.121,0.8746,10.8673,2388.6211,11.1571,Cloud Rap/Experimental
76,140.03,2224.2162,1.3682,0.2745,0.8779,36.2247,2424.7026,30.6017,Trap/Drill
77,144.97,1487.3485,1.3704,0.2961,0.8663,27.5103,2346.0466,34.5267,Club/Party Rap
78,83.94,1529.6286,1.2399,0.2144,0.9036,25.775,2028.1672,22.4647,Lo-Fi Hip Hop/Chill Rap
79,123.0,1579.1351,1.2364,0.211,0.865,29.8709,1283.8739,21.7752,Lo-Fi Hip Hop/Chill Rap
80,97.01,1939.5743,1.4915,0.2105,0.7907,21.3518,2604.6006,22.7132,Introspective Rap
81,99.89,2099.2929,1.4495,0.2238,0.8232,25.5901,2579.558,24.5903,Introspective Rap
82,134.68,1794.3173,1.4321,0.2058,0.782,19.8245,2124.0039,21.4578,Introspective Rap
83,89.97,1478.2368,1.2651,0.1844,0.8848,20.6097,1883.8233,18.5447,Lo-Fi Hip Hop/Chill Rap
84,129.65,1707.2895,1.3321,0.3148,0.8244,32.8896,2128.5949,37.1335,Club/Party Rap
85,99.84,1328.5572,1.2336,0.1966,0.9242,25.0413,1907.9789,19.5017,Lo-Fi Hip Hop/Chill Rap
86,100.06,1934.3353,1.3653,0.1347,0.8586,16.6464,1807.5108,11.8235,Cloud Rap/Experimental
87,86.97,1080.1571,1.2219,0.2597,0.9475,30.8597,2585.5437,28.6058,Club/Party Rap
88,93.94,1604.182,1.2001,0.2518,0.8883,38.1817,2056.8468,27.5268,Trap/Drill
89,100.92,1673.2887,1.2423,0.2166,0.9004,29.8881,2192.9297,23.3016,Lo-Fi Hip Hop/Chill Rap
90,150.16,1155.511,1.4218,0.3036,0.8564,25.3508,2684.7493,35.9182,Club/Party Rap
91,97.05,1626.5428,1.2289,0.2657,0.8694,33.005,1860.3851,29.4205,Trap/Drill
92,102.0,1832.725,1.3466,0.2321,0.7801,32.3706,2063.7877,25.4385,Trap/Drill
93,107.89,2478.1341,1.4221,0.2422,0.7778,26.7647,2318.728,26.8665,Introspective Rap
94,122.22,1401.5597,1.1518,0.2091,0.9008,21.3362,2287.5013,22.2948,Introspective Rap
95,104.88,1397.9528,1.362,0.2354,0.8254,26.3092,2402.7881,26.679,Introspective Rap
96,142.12,2003.6417,1.3085,0.1957,0.8317,25.7311,2059.8171,20.3535,Lo-Fi Hip Hop/Chill Rap
97,114.67,911.7727,1.2797,0.3039,0.9304,28.8953,2755.4281,35.0052,Club/Party Rap
98,122.95,1557.141,1.3555,0.2961,0.8934,33.8047,2750.6078,34.0028,Club/Party Rap
99,117.7,1166.8842,1.3235,0.2126,0.9082,20.7593,2553.1109,23.1476,Introspective Rap
100,124.23,1290.9085,1.1678,0.3187,0.8511,43.0438,2067.4024,36.8162,Trap/Drill
101,100.01,1836.8605,1.434,0.2123,0.8644,25.2745,2045.0869,21.3904,Lo-Fi Hip Hop/Chill Rap
102,117.95,1374.6311,1.3102,0.2608,0.8934,27.8856,2284.7715,29.4744,Club/Party Rap
103,95.97,1207.0864,1.3057,0.2515,0.9001,28.32,2270.7217,27.5154,Club/Party Rap
104,96.45,1325.8035,1.2398,0.1128,0.8626,11.3287,2124.0971,9.9054,Cloud Rap/Experimental
105,164.02,1174.9606,1.3293,0.2359,0.911,24.7876,2493.6296,25.5162,Introspective Rap
106,108.78,1725.3368,1.2915,0.2121,0.8805,30.8538,2497.8086,22.3439,Lo-Fi Hip Hop/Chill Rap
107,100.04,1670.4844,1.52,0.2453,0.9022,25.5692,2064.7418,26.8753,Lo-Fi Hip Hop/Chill Rap
108,102.1,1878.3802,1.2554,0.2441,0.8411,33.6152,1812.3025,26.7746,Trap/Drill
109,104.97,1674.7742,1.3599,0.1661,0.8538,22.3497,1947.1835,16.0175,Lo-Fi Hip Hop/Chill Rap
110,109.99,1853.48,1.3685,0.1882,0.8688,23.1512,2121.7348,18.4222,Introspective Rap
111,102.05,1663.7935,1.2846,0.1809,0.8755,22.3882,2205.558,17.9614,Introspective Rap
112,81.95,1291.5644,1.2652,0.1136,0.9702,14.3702,2117.7696,9.4271,Cloud Rap/Experimental
113,142.14,1741.9075,1.2491,0.2636,0.8686,26.987,1983.0205,29.074,Lo-Fi Hip Hop/Chill Rap
114,164.93,1535.5513,1.3708,0.2494,0.8689,19.7827,2610.0362,27.326,Introspective Rap
115,102.82,1877.3382,1.3278,0.2734,0.8226,33.5222,2507.9734,32.1987,Club/Party Rap
116,98.01,2030.2971,1.3761,0.2771,0.8354,30.7293,2335.7343,31.6957,Club/Party Rap
117,143.99,1328.0642,1.5289,0.2153,0.885,14.4982,2690.7177,22.1261,Introspective Rap
118,100.02,2091.848,1.3878,0.2128,0.9073,30.6005,1803.9975,21.418,Lo-Fi Hip Hop/Chill Rap
119,128.08,884.8261,1.3439,0.1846,0.8996,9.8603,3004.6856,18.3277,Introspective Rap
120,172.27,2480.0144,1.2273,0.1646,0.8243,30.4336,1555.062,15.2871,Lo-Fi Hip Hop/Chill Rap
121,119.86,942.8636,1.2891,0.1908,0.8991,10.3903,1675.5322,19.5278,Cloud Rap/Experimental
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cloud Rap/Experimental
123,96.45,1325.8035,1.2398,0.1128,0.8626,11.3287,2124.0971,9.9054,Club/Party Rap
124,155.92,1255.618,1.2028,0.3363,0.9106,37.8036,2325.0992,40.3835,Cloud Rap/Experimental
125,123.65,1433.8136,1.2458,0.1241,0.8946,11.4577,2505.6631,10.8909,Lo-Fi Hip Hop/Chill Rap
126,112.8,1681.8529,1.1123,0.2375,0.9034,32.0066,1881.4201,25.2624,Lo-Fi Hip Hop/Chill Rap
127,120.8,1855.9003,1.0024,0.225,0.8221,26.7146,1723.4627,24.7841,Lo-Fi Hip Hop/Chill Rap
128,118.35,1676.082,1.1742,0.1989,0.8641,30.7594,1777.1598,20.2043,Introspective Rap
129,135.94,2361.1278,1.4271,0.2528,0.8494,23.3399,2377.691,27.2185,Trap/Drill
130,97.99,1810.9991,1.3935,0.2614,0.8588,35.1553,1825.1888,28.6639,Lo-Fi Hip Hop/Chill Rap
131,165.57,1092.3687,1.1018,0.2103,0.9481,29.5025,1559.9011,21.2463,Cloud Rap/Experimental
132,83.07,1626.6757,1.0795,0.1286,0.8804,18.764,1472.6872,11.2622,Trap/Drill
133,89.92,2001.121,1.238,0.2289,0.8253,34.3188,1849.645,24.1778,Trap/Drill
134,85.01,1966.5092,1.1789,0.2422,0.8038,33.6837,1878.7339,26.1175,Trap/Drill
135,101.94,2526.6177,1.2988,0.24,0.7834,37.7952,2003.6959,25.9995,Lo-Fi Hip Hop/Chill Rap
136,123.87,1525.7309,1.1228,0.229,0.8495,26.433,1871.8697,25.241,Lo-Fi Hip Hop/Chill Rap
137,103.99,1307.7308,1.0938,0.1863,0.9383,25.2289,1922.7629,18.5034,Lo-Fi Hip Hop/Chill Rap
138,164.14,1906.6516,1.1777,0.1885,0.8374,31.1961,1905.3194,20.0391,Lo-Fi Hip Hop/Chill Rap
139,99.85,1696.8278,1.176,0.2208,0.8937,28.7131,2019.1435,23.6573,Trap/Drill
140,116.96,1453.269,1.2323,0.3146,0.8781,37.4723,1993.2678,36.2402,Cloud Rap/Experimental
141,117.79,1697.1483,1.1602,0.171,0.9026,19.5408,1989.8891,16.5926,Lo-Fi Hip Hop/Chill Rap
142,92.09,1640.2451,1.0385,0.22,0.8627,30.9421,1719.0353,23.7514,Cloud Rap/Experimental
143,139.97,1257.2251,0.986,0.0783,0.8063,8.7394,1991.7068,6.2968,Cloud Rap/Experimental
144,139.95,1949.2216,0.9708,0.1235,0.8752,17.7127,1791.7425,11.3256,Club/Party Rap
145,115.35,1299.2277,1.1207,0.2649,0.916,32.6338,2209.2564,29.4904,Trap/Drill
146,89.85,1959.882,1.1485,0.2419,0.8944,36.0126,2001.5049,25.6667,Trap/Drill
147,117.88,2140.234,1.1117,0.2544,0.8171,34.6737,2022.2388,28.009,Lo-Fi Hip Hop/Chill Rap
148,114.88,1890.7792,1.0121,0.1669,0.8529,20.7972,1689.2871,16.2001,Lo-Fi Hip Hop/Chill Rap
149,95.3,2742.0943,1.377,0.2266,0.8592,28.0899,1924.6794,23.5755,Cloud Rap/Experimental
150,147.97,2388.1245,1.3361,0.0362,0.8141,6.7419,3027.0889,2.4698,Cloud Rap/Experimental
151,149.49,1965.8871,0.9677,0.1341,0.831,18.9019,2138.5227,13.3104,Lo-Fi Hip Hop/Chill Rap
152,99.85,1696.8278,1.176,0.2208,0.8937,28.7131,2019.1435,23.6573,Trap/Drill
153,96.99,2161.1713,1.3931,0.2626,0.8235,33.1024,2411.5925,29.2878,Lo-Fi Hip Hop/Chill Rap
154,105.0,1664.7941,1.1652,0.1947,0.9133,30.5575,2195.0775,19.8458,Cloud Rap/Experimental
155,152.76,2472.0097,1.1709,0.1392,0.8306,23.7165,1960.6922,13.139,Lo-Fi Hip Hop/Chill Rap
156,165.59,1105.2764,1.0863,0.2269,0.9074,28.2931,1931.7829,24.8198,Cloud Rap/Experimental
157,143.15,2269.3179,1.2104,0.1545,0.8686,19.7747,2164.3736,15.3918,Cloud Rap/Experimental
158,164.21,911.0792,1.0863,0.0469,0.7685,5.5482,2147.5617,3.0395,Introspective Rap
159,71.52,2384.9098,1.3276,0.1877,0.854,22.6539,2383.5316,19.5479,Trap/Drill
160,119.99,2206.2041,1.2167,0.2379,0.8373,34.6296,2426.3639,25.9216,Lo-Fi Hip Hop/Chill Rap
161,109.93,1392.1472,1.1312,0.2321,0.8974,28.071,2081.7819,25.4888,Lo-Fi Hip Hop/Chill Rap
162,128.13,1643.6374,1.3086,0.1891,0.8966,28.3094,1996.9504,18.7399,Trap/Drill
163,119.98,1766.5243,1.1383,0.2752,0.8244,38.336,1670.8472,30.6277,Trap/Drill
164,172.27,2164.6181,1.1645,0.2465,0.8365,36.2506,2174.1046,26.3237,Trap/Drill
165,139.09,1674.9314,1.1507,0.292,0.885,43.6786,2066.9335,32.7928,Lo-Fi Hip Hop/Chill Rap
166,163.91,1440.421,1.043,0.2134,0.9414,32.8166,1838.2189,22.0763,Lo-Fi Hip Hop/Chill Rap
167,144.61,995.4358,1.1248,0.2384,0.9203,28.478,2089.4875,26.5671,Trap/Drill
168,117.88,2140.234,1.1117,0.2544,0.8171,34.6737,2022.2388,28.009,Cloud Rap/Experimental
169,90.1,1068.3332,0.992,0.1652,0.921,18.7117,1698.4194,16.0579,Trap/Drill
170,129.99,2376.7505,1.0963,0.2779,0.7882,43.3783,2089.6121,30.7099,Lo-Fi Hip Hop/Chill Rap
171,148.27,1293.5099,1.0615,0.1911,0.9413,18.3005,1822.9448,18.6863,Lo-Fi Hip Hop/Chill Rap
172,79.92,1696.6657,1.0766,0.2475,0.8731,29.657,2192.1247,26.9923,Lo-Fi Hip Hop/Chill Rap
173,97.15,1251.5954,1.1822,0.2274,0.8816,22.6252,2156.859,25.3745,Cloud Rap/Experimental
174,150.84,1823.8799,1.1336,0.1386,0.8414,16.2819,1632.7056,12.9153,Lo-Fi Hip Hop/Chill Rap
175,122.78,1658.5487,1.1396,0.1887,0.878,24.1614,1755.6582,18.7812,Cloud Rap/Experimental
176,104.02,1507.058,1.0352,0.1085,0.9079,15.4999,1555.1525,8.9099,Introspective Rap
177,79.86,3251.6721,1.4809,0.1505,0.7872,21.8277,1998.6323,14.1474,Trap/Drill
178,135.64,1634.3491,1.0468,0.5916,0.95,61.2225,1942.9244,81.9478,Lo-Fi Hip Hop/Chill Rap
179,162.93,2492.6612,1.0772,0.1738,0.826,25.6841,1774.7425,16.9647,Trap/Drill
180,83.97,1513.4018,1.0541,0.3089,0.9329,50.1635,1527.6942,34.702,Cloud Rap/Experimental
181,126.24,1299.1366,1.3187,0.0479,0.8002,6.3499,2422.337,3.0257,Cloud Rap/Experimental
182,96.42,551.1992,1.2526,0.1866,0.9807,14.2465,2104.6225,18.2422,Lo-Fi Hip Hop/Chill Rap
183,89.99,2162.1072,1.1973,0.2168,0.732,25.6232,2168.503,24.8034,Lo-Fi Hip Hop/Chill Rap
184,90.05,1666.7213,1.2422,0.2231,0.8702,25.6461,2106.2023,24.2337,Cloud Rap/Experimental
185,150.19,2198.4763,1.2014,0.1555,0.8532,20.9463,2270.9921,14.9904,Lo-Fi Hip Hop/Chill Rap
186,122.26,1431.3953,1.0143,0.2282,0.8597,25.6956,1346.0725,24.2382,Trap/Drill
187,116.96,1453.269,1.2323,0.3146,0.8781,37.4723,1993.2678,36.2402,Club/Party Rap
188,100.48,1193.37,1.3383,0.2812,0.9524,23.1899,2008.3294,31.4019,Cloud Rap/Experimental
189,113.95,2096.5049,1.2659,0.0382,0.6509,5.6112,2489.1112,2.4215,Cloud Rap/Experimental
190,150.19,3129.9812,1.2094,0.1262,0.7213,21.2777,1913.4062,11.2966,Lo-Fi Hip Hop/Chill Rap
191,123.76,994.2773,1.2238,0.2298,0.8533,23.914,2252.3836,25.2464,Club/Party Rap
192,146.14,615.6104,1.4789,0.3409,0.9272,15.7459,2865.9747,41.6719,Lo-Fi Hip Hop/Chill Rap
193,184.57,3020.4947,1.2318,0.1718,0.842,23.7847,2333.9627,16.589,Cloud Rap/Experimental
194,143.25,1220.2561,1.1363,0.0953,0.7286,11.0996,2262.3125,8.1771,Lo-Fi Hip Hop/Chill Rap
195,105.0,1664.7941,1.1652,0.1947,0.9133,30.5575,2195.0775,19.8458,Cloud Rap/Experimental
196,83.07,1626.6757,1.0795,0.1286,0.8804,18.764,1472.6872,11.2622,Lo-Fi Hip Hop/Chill Rap
197,146.06,1127.9579,0.944,0.2126,0.8885,29.3699,1321.6278,21.9908,Introspective Rap
198,99.76,2012.4045,1.4012,0.1746,0.8877,17.8227,2027.7249,17.3476,Introspective Rap
199,129.99,1805.2343,1.3294,0.1935,0.8826,23.7241,2362.5395,20.0809,Introspective Rap
200,143.31,886.0154,1.4511,0.2043,0.8954,16.6571,2781.0067,21.417,Trap/Drill
201,178.21,1528.8264,1.4217,0.2837,0.8613,35.1988,2251.4679,32.2849,Trap/Drill
202,172.27,2271.0018,1.2787,0.2151,0.7386,34.5408,1584.8282,22.4763,Trap/Drill
203,89.99,2010.8747,1.2712,0.2449,0.8385,32.7095,2078.3584,27.0532,Lo-Fi Hip Hop/Chill Rap
204,129.9,2264.2789,1.2257,0.2085,0.7215,23.4013,1661.2994,21.8111,Trap/Drill
205,133.75,2361.0931,1.3188,0.2645,0.8607,34.5461,2129.9599,29.1454,Club/Party Rap
206,101.0,1606.4833,1.4248,0.2588,0.8659,28.3351,2412.207,28.7241,Lo-Fi Hip Hop/Chill Rap
207,89.97,2034.9699,1.3278,0.2292,0.8282,24.9961,2177.0189,25.5024,Trap/Drill
208,122.95,1547.3255,1.2755,0.2549,0.8638,33.0955,1612.9717,28.0271,Lo-Fi Hip Hop/Chill Rap
209,109.68,1385.4752,1.0945,0.2206,0.8537,24.0805,1911.354,24.8158,Lo-Fi Hip Hop/Chill Rap
210,135.96,2025.0232,1.2024,0.142,0.832,27.604,2049.5932,13.8077,Trap/Drill
211,119.11,2123.9202,1.3234,0.2944,0.8234,36.9654,2418.0541,34.8938,Lo-Fi Hip Hop/Chill Rap
212,128.2,1329.6976,1.234,0.2481,0.8711,26.1307,2200.7944,27.7659,Trap/Drill
213,153.68,2066.1608,1.3418,0.2651,0.7852,29.5593,1913.6864,29.6685,Lo-Fi Hip Hop/Chill Rap
214,106.63,2090.6557,1.4023,0.2275,0.7955,22.766,1907.509,24.5889,Trap/Drill
215,117.6,2763.6808,1.4274,0.2361,0.8006,32.3727,2056.3347,25.597,Lo-Fi Hip Hop/Chill Rap
216,149.97,1562.7417,1.2067,0.2484,0.9022,25.0635,2054.9021,27.6189,Cloud Rap/Experimental
217,111.69,1170.4343,1.1107,0.1454,0.9268,15.3964,1747.398,13.198,Trap/Drill
218,148.91,1930.9528,1.3687,0.2887,0.8234,36.5686,2330.0121,33.3378,Trap/Drill
219,100.98,2053.0542,1.3774,0.2146,0.7329,34.3226,2324.8748,23.058,Club/Party Rap
220,125.22,2043.8709,1.4048,0.3075,0.8305,33.1551,2393.1104,36.3319,Lo-Fi Hip Hop/Chill Rap
221,121.23,2057.4703,1.3277,0.2224,0.8482,33.8028,2311.5715,23.7735,Introspective Rap
222,128.03,2310.4992,1.2328,0.2144,0.8213,20.0506,2437.251,23.6946,Introspective Rap
223,128.41,1840.3983,1.3733,0.2067,0.8632,19.9111,2045.8754,21.4039,Trap/Drill
224,104.94,2271.2472,1.2309,0.2757,0.7579,41.9462,1712.0589,31.1021,Lo-Fi Hip Hop/Chill Rap
225,161.88,1535.2227,1.1709,0.2333,0.8287,25.4555,1996.0192,25.7252,Lo-Fi Hip Hop/Chill Rap
226,95.01,2217.8452,1.1374,0.2354,0.7945,28.7612,1595.2637,25.6811,Lo-Fi Hip Hop/Chill Rap
227,126.25,1910.0484,1.2332,0.2257,0.8447,27.7575,1855.6863,24.2074,Lo-Fi Hip Hop/Chill Rap
228,153.49,1624.7712,1.1756,0.2333,0.8992,28.1164,1890.9055,25.2278,Lo-Fi Hip Hop/Chill Rap
229,151.86,1899.7059,1.2913,0.1552,0.8164,29.8588,1685.9052,14.5735,Club/Party Rap
230,161.63,1764.0955,1.4103,0.2774,0.8797,29.443,2308.1682,31.2405,Introspective Rap
231,126.98,2799.3589,1.493,0.2282,0.7537,18.8208,2384.9191,24.5556,Trap/Drill
232,136.73,2136.8971,1.1551,0.2738,0.8733,31.5063,1667.3698,30.0561,Lo-Fi Hip Hop/Chill Rap
233,123.56,1333.3621,1.1597,0.21,0.9023,24.3003,1946.5725,21.8813,Lo-Fi Hip Hop/Chill Rap
234,122.38,1224.327,1.1065,0.2386,0.8848,20.6004,1684.8782,25.5977,Club/Party Rap
235,109.98,1587.1567,1.6001,0.3077,0.8557,32.5793,2902.8083,36.6539,Trap/Drill
236,142.03,2420.5048,1.3107,0.2975,0.7199,36.2632,1686.159,34.0347,Trap/Drill
237,135.87,1990.2308,1.3759,0.2829,0.8372,42.3192,2129.4,32.3919,Club/Party Rap
238,106.98,1272.3305,1.2511,0.263,0.8905,33.4841,2304.5001,29.5024,Club/Party Rap
239,89.45,1519.7123,1.2525,0.2929,0.7872,27.6518,2275.3223,34.5152,Trap/Drill
240,129.5,2156.2141,1.3666,0.2517,0.8065,32.587,1791.3212,28.0284,Introspective Rap
241,123.94,1485.743,1.3065,0.2467,0.843,22.2575,2394.7505,28.5995,Lo-Fi Hip Hop/Chill Rap
242,144.23,1745.8698,1.2078,0.267,0.8683,27.5243,1835.3135,29.9386,Club/Party Rap
243,144.09,1830.4563,1.466,0.2493,0.807,25.5984,2389.7111,27.7183,Lo-Fi Hip Hop/Chill Rap
244,89.91,2191.9686,1.4261,0.2253,0.8816,29.1736,2350.5012,24.1942,Lo-Fi Hip Hop/Chill Rap
245,117.78,1740.4379,1.1037,0.2192,0.8758,24.6592,1454.8764,23.0454,Lo-Fi Hip Hop/Chill Rap
246,121.92,1323.592,1.2203,0.2145,0.9096,20.5568,2116.086,22.6036,Club/Party Rap
247,92.0,1907.5868,1.3326,0.2824,0.8502,31.532,2515.4231,32.4661,Lo-Fi Hip Hop/Chill Rap
248,108.0,2141.1378,1.4094,0.2437,0.8463,27.2074,2096.8632,26.5973,Trap/Drill
249,129.73,1534.6756,1.2878,0.2616,0.8668,34.3314,1941.5993,29.501,Trap/Drill
250,139.77,1351.061,1.151,0.263,0.8859,34.0152,1589.9777,29.524,Cloud Rap/Experimental
251,92.94,964.1463,1.2536,0.1229,0.9278,16.0996,1978.8695,10.732,Lo-Fi Hip Hop/Chill Rap
